	participant_type	task	run	tracked_point	test_statistic	pvalue
0	PD	Fast	off	left_ankle	-2.1944355488609997	0.03636376897703578
1	PD	Fast	on	left_ankle	1.146964560556769	0.26225522920949673
2	MS	Fast	schub	left_ankle	5.196152422706631	0.013846832988859047
3	PD	Preferred	off	left_ankle	-1.7417863653414187	0.09115217844300072
4	PD	Preferred	on	left_ankle	0.4041701379767586	0.6892713290667887
5	MS	Preferred	schub	left_ankle	-0.9607689228305228	0.4075443578938425
6	PD	Slow	off	left_ankle	-3.654278617713148	0.0009450669531987781
7	PD	Slow	on	left_ankle	-0.8099905283919412	0.42411997488872955
8	MS	Slow	schub	left_ankle	-2.2647046658845564	0.049792233669904346
9	PD	Fast	off	left_shank	-1.5024165414396238	0.14418483829612078
10	PD	Fast	on	left_shank	0.14334554477024894	0.887383871562668
11	MS	Fast	schub	left_shank	1.4638501094227996	0.23944259863600284
12	PD	Preferred	off	left_shank	-4.219921737904957	0.00017948864558265979
13	PD	Preferred	on	left_shank	-0.9657383103484326	0.3442206421382442
14	MS	Preferred	schub	left_shank	0.27701734442577747	0.7954929812935918
15	PD	Slow	off	left_shank	-4.413504632227046	0.00011440290867572674
16	PD	Slow	on	left_shank	-1.4730874321379146	0.15320745562142954
17	MS	Slow	schub	left_shank	-2.5637928363783935	0.03049677087016699
18	PD	Fast	off	right_ankle	-1.0190179768132102	0.3179551135779798
19	PD	Fast	on	right_ankle	0.26398913895599124	0.7937216090170189
20	MS	Fast	schub	right_ankle	-0.22549380840084865	0.8360832258079627
21	PD	Preferred	off	right_ankle	-4.352305864655298	0.00013602325527899267
22	PD	Preferred	on	right_ankle	-1.6894204505052655	0.10265575867869842
23	MS	Preferred	schub	right_ankle	-1.860521018838127	0.13631820211433793
24	PD	Slow	off	right_ankle	-2.9000309723722895	0.006692917883454951
25	PD	Slow	on	right_ankle	-3.595561415257313	0.0010144123689349238
26	MS	Slow	schub	right_ankle	1.4227759830611801	0.18523884847599742
27	PD	Fast	off	right_shank	-3.7874566117919954	0.0008118171602642622
28	PD	Fast	on	right_shank	-1.1894205925372365	0.24426304010044303
29	MS	Fast	schub	right_shank	-0.37796447300922725	0.7418011102528389
30	PD	Preferred	off	right_shank	-8.406463662159547	1.701538498046519e-09
31	PD	Preferred	on	right_shank	-2.694039349944938	0.011614309491839494
32	MS	Preferred	schub	right_shank	4.242640687119285	0.013235599563682695
33	PD	Slow	off	right_shank	-4.473026730021858	9.66433128650449e-05
34	PD	Slow	on	right_shank	-3.8964854528436783	0.0004073549031442837
35	MS	Slow	schub	right_shank	2.459346884189824	0.03619741033184052
